"T.image" "T.review" "T.desc" "T.load" "Res"
"42" 4.5 2.3 1.3 0.3 "Compra"
"43" 4.4 3.2 1.3 0.2 "Compra"
"44" 5 3.5 1.6 0.6 "Compra"
"45" 5.1 3.8 1.9 0.4 "Compra"
"46" 4.8 3 1.4 0.3 "Compra"
"47" 5.1 3.8 1.6 0.2 "Compra"
"48" 4.6 3.2 1.4 0.2 "Compra"
"49" 5.3 3.7 1.5 0.2 "Compra"
"50" 5 3.3 1.4 0.2 "Compra"
"51" 7 3.2 4.7 1.4 "Wishlist"
"52" 6.4 3.2 4.5 1.5 "Wishlist"
"53" 6.9 3.1 4.9 1.5 "Wishlist"
"54" 5.5 2.3 4 1.3 "Wishlist"
"55" 6.5 2.8 4.6 1.5 "Wishlist"
"56" 5.7 2.8 4.5 1.3 "Wishlist"
"57" 6.3 3.3 4.7 1.6 "Wishlist"
"58" 4.9 2.4 3.3 1 "Wishlist"
"59" 6.6 2.9 4.6 1.3 "Wishlist"
"60" 5.2 2.7 3.9 1.4 "Wishlist"
"61" 5 2 3.5 1 "Wishlist"
"62" 5.9 3 4.2 1.5 "Wishlist"
"63" 6 2.2 4 1 "Wishlist"
"64" 6.1 2.9 4.7 1.4 "Wishlist"
"65" 5.6 2.9 3.6 1.3 "Wishlist"
"66" 6.7 3.1 4.4 1.4 "Wishlist"
"67" 5.6 3 4.5 1.5 "Wishlist"
"68" 5.8 2.7 4.1 1 "Wishlist"
"69" 6.2 2.2 4.5 1.5 "Wishlist"
"70" 5.6 2.5 3.9 1.1 "Wishlist"
"71" 5.9 3.2 4.8 1.8 "Wishlist"
"72" 6.1 2.8 4 1.3 "Wishlist"
"73" 6.3 2.5 4.9 1.5 "Wishlist"
"74" 6.1 2.8 4.7 1.2 "Wishlist"
"75" 6.4 2.9 4.3 1.3 "Wishlist"
"76" 6.6 3 4.4 1.4 "Wishlist"
"77" 6.8 2.8 4.8 1.4 "Wishlist"
"78" 6.7 3 5 1.7 "Wishlist"
"79" 6 2.9 4.5 1.5 "Wishlist"
"80" 5.7 2.6 3.5 1 "Wishlist"
"81" 5.5 2.4 3.8 1.1 "Wishlist"
"82" 5.5 2.4 3.7 1 "Wishlist"
"83" 5.8 2.7 3.9 1.2 "Wishlist"
"84" 6 2.7 5.1 1.6 "Wishlist"
"85" 5.4 3 4.5 1.5 "Wishlist"
"86" 6 3.4 4.5 1.6 "Wishlist"
"87" 6.7 3.1 4.7 1.5 "Wishlist"
"88" 6.3 2.3 4.4 1.3 "Wishlist"
"89" 5.6 3 4.1 1.3 "Wishlist"
"90" 5.5 2.5 4 1.3 "Wishlist"
"91" 5.5 2.6 4.4 1.2 "Wishlist"
"92" 6.1 3 4.6 1.4 "Wishlist"
"93" 5.8 2.6 4 1.2 "Wishlist"
"94" 5 2.3 3.3 1 "Wishlist"
"95" 5.6 2.7 4.2 1.3 "Wishlist"
"96" 5.7 3 4.2 1.2 "Wishlist"
"97" 5.7 2.9 4.2 1.3 "Wishlist"
"98" 6.2 2.9 4.3 1.3 "Wishlist"
"99" 5.1 2.5 3 1.1 "Wishlist"
"100" 5.7 2.8 4.1 1.3 "Wishlist"
"101" 6.3 3.3 6 2.5 "No_Compra"
"102" 5.8 2.7 5.1 1.9 "No_Compra"
"103" 7.1 3 5.9 2.1 "No_Compra"
"104" 6.3 2.9 5.6 1.8 "No_Compra"
"105" 6.5 3 5.8 2.2 "No_Compra"
"106" 7.6 3 6.6 2.1 "No_Compra"
"107" 4.9 2.5 4.5 1.7 "No_Compra"
"108" 7.3 2.9 6.3 1.8 "No_Compra"
"109" 6.7 2.5 5.8 1.8 "No_Compra"
"110" 7.2 3.6 6.1 2.5 "No_Compra"
"111" 6.5 3.2 5.1 2 "No_Compra"
"112" 6.4 2.7 5.3 1.9 "No_Compra"
"113" 6.8 3 5.5 2.1 "No_Compra"
"114" 5.7 2.5 5 2 "No_Compra"
"115" 5.8 2.8 5.1 2.4 "No_Compra"
"116" 6.4 3.2 5.3 2.3 "No_Compra"
"117" 6.5 3 5.5 1.8 "No_Compra"
"118" 7.7 3.8 6.7 2.2 "No_Compra"
"119" 7.7 2.6 6.9 2.3 "No_Compra"
"120" 6 2.2 5 1.5 "No_Compra"
"121" 6.9 3.2 5.7 2.3 "No_Compra"
"122" 5.6 2.8 4.9 2 "No_Compra"
"123" 7.7 2.8 6.7 2 "No_Compra"
"124" 6.3 2.7 4.9 1.8 "No_Compra"
"125" 6.7 3.3 5.7 2.1 "No_Compra"
"126" 7.2 3.2 6 1.8 "No_Compra"
"127" 6.2 2.8 4.8 1.8 "No_Compra"
"128" 6.1 3 4.9 1.8 "No_Compra"
"129" 6.4 2.8 5.6 2.1 "No_Compra"
"130" 7.2 3 5.8 1.6 "No_Compra"
"131" 7.4 2.8 6.1 1.9 "No_Compra"
"132" 7.9 3.8 6.4 2 "No_Compra"
"133" 6.4 2.8 5.6 2.2 "No_Compra"
"134" 6.3 2.8 5.1 1.5 "No_Compra"
"135" 6.1 2.6 5.6 1.4 "No_Compra"
"136" 7.7 3 6.1 2.3 "No_Compra"
"137" 6.3 3.4 5.6 2.4 "No_Compra"
"138" 6.4 3.1 5.5 1.8 "No_Compra"
"139" 6 3 4.8 1.8 "No_Compra"
"140" 6.9 3.1 5.4 2.1 "No_Compra"
"141" 6.7 3.1 5.6 2.4 "No_Compra"
"142" 6.9 3.1 5.1 2.3 "No_Compra"
"143" 5.8 2.7 5.1 1.9 "No_Compra"
"144" 6.8 3.2 5.9 2.3 "No_Compra"
"145" 6.7 3.3 5.7 2.5 "No_Compra"
"146" 6.7 3 5.2 2.3 "No_Compra"
"147" 6.3 2.5 5 1.9 "No_Compra"
"148" 6.5 3 5.2 2 "No_Compra"
"149" 6.2 3.4 5.4 2.3 "No_Compra"
"150" 5.9 3 5.1 1.8 "No_Compra"
